origin,n_movers,n_dest_unique,hhi_dest
1,46,25,0.07277882797731569
6,22,17,0.07851239669421488
15,22,18,0.06611570247933884
19,23,17,0.10396975425330812
23,12,10,0.1111111111111111
56,25,18,0.0752
77,12,12,0.08333333333333333
79,21,19,0.05668934240362811
80,14,12,0.09183673469387754
81,21,18,0.06575963718820861
85,23,20,0.05482041587901701
103,19,18,0.05817174515235456
110,15,15,0.06666666666666667
111,45,36,0.03209876543209877
113,166,99,0.015096530701117723
120,38,29,0.04293628808864265
127,42,36,0.03401360544217687
141,13,13,0.07692307692307693
144,52,43,0.027366863905325448
145,77,36,0.09023444088379151
147,15,9,0.15555555555555556
156,187,105,0.01518487803483085
166,55,45,0.02677685950413223
172,25,22,0.049600000000000005
183,75,50,0.03822222222222223
194,49,32,0.0720533111203665
204,29,18,0.08680142687277051
205,32,23,0.0703125
218,121,73,0.019739088860050547
219,31,19,0.06347554630593132
223,127,84,0.02039804079608159
227,136,86,0.016976643598615917
231,37,17,0.13659605551497445
232,58,43,0.032104637336504156
234,67,44,0.04477611940298507
239,36,22,0.05864197530864197
251,38,24,0.07756232686980609
253,8,7,0.15625
259,58,32,0.05291319857312723
264,36,24,0.07716049382716049
268,67,38,0.07863666740922255
273,68,54,0.02378892733564014
278,73,41,0.059485832238693935
280,7,5,0.22448979591836732
281,17,16,0.06574394463667821
288,15,14,0.07555555555555556
289,46,27,0.07561436672967864
293,6,5,0.2222222222222222
295,40,29,0.045000000000000005
297,49,33,0.03790087463556851
299,37,32,0.03871439006574142
301,17,13,0.10726643598615918
303,211,98,0.022798230048741045
304,30,28,0.03777777777777778
308,72,54,0.022376543209876542
312,96,59,0.03515625
314,19,15,0.08033240997229915
320,31,21,0.09053069719042663
323,7,5,0.22448979591836732
325,28,22,0.06887755102040816
327,44,32,0.04855371900826446
328,37,31,0.037253469685902124
329,95,60,0.027146814404432132
330,9,8,0.13580246913580246
339,26,20,0.10059171597633136
344,17,12,0.10034602076124569
352,36,28,0.041666666666666664
356,246,129,0.01536783660519532
357,39,34,0.034845496383957925
364,18,18,0.05555555555555555
365,46,23,0.08979206049149338
366,25,15,0.12960000000000002
371,6,5,0.2222222222222222
375,9,8,0.13580246913580246
379,54,26,0.08161865569272976
380,47,41,0.026708918062471707
388,12,9,0.125
391,42,31,0.044217687074829926
397,122,67,0.02485890889545821
400,24,18,0.0625
412,28,19,0.06122448979591836
423,14,9,0.16326530612244897
424,33,19,0.14416896235078053
427,61,38,0.05455522708949207
430,16,15,0.0703125
439,34,23,0.07612456747404844
444,16,10,0.15625
445,55,32,0.0743801652892562
449,26,23,0.04733727810650888
451,45,39,0.028148148148148148
